'Titulo','Direção','Nota','Link','Ano','Categoria'
'O Poderoso Chefão','Francis Ford Coppola','N/A','https://www.adorocinema.com/filmes/filme-1628/','24 de março de 1972','N/A'
'A Lista de Schindler','Steven Spielberg','N/A','https://www.adorocinema.com/filmes/filme-9393/','31 de dezembro de 1993','N/A'
'Um Sonho de Liberdade','Frank Darabont','N/A','https://www.adorocinema.com/filmes/filme-11736/','25 de janeiro de 1995','N/A'
'Forrest Gump - O Contador de Histórias','Robert Zemeckis','N/A','https://www.adorocinema.com/filmes/filme-10568/','7 de dezembro de 1994','N/A'
'O Rei Leão','Roger Allers                                                                                                                                                                                                                                Rob Minkoff','N/A','https://www.adorocinema.com/filmes/filme-10862/','8 de julho de 1994','N/A'
'À Espera de um Milagre','Frank Darabont','N/A','https://www.adorocinema.com/filmes/filme-22779/','10 de março de 2000','N/A'
'O Senhor dos Anéis - O Retorno do Rei','Peter Jackson','N/A','https://www.adorocinema.com/filmes/filme-39187/','25 de dezembro de 2003','N/A'
'Batman - O Cavaleiro Das Trevas','Christopher Nolan','N/A','https://www.adorocinema.com/filmes/filme-115362/','18 de julho de 2008','N/A'
'Vingadores: Ultimato','Joe Russo                                                                                                                                                                                                                                Anthony Russo','N/A','https://www.adorocinema.com/filmes/filme-232669/','25 de abril de 2019','N/A'
'Vingadores: Guerra Infinita','Joe Russo                                                                                                                                                                                                                                Anthony Russo','N/A','https://www.adorocinema.com/filmes/filme-218265/','26 de abril de 2018','N/A'
'O Poderoso Chefão 2','Francis Ford Coppola','N/A','https://www.adorocinema.com/filmes/filme-28201/','20 de dezembro de 1974','N/A'
'O Auto da Compadecida','Guel Arraes','N/A','https://www.adorocinema.com/filmes/filme-120824/','10 de setembro de 2000','N/A'
'O Resgate do Soldado Ryan','Steven Spielberg','N/A','https://www.adorocinema.com/filmes/filme-18598/','11 de setembro de 1998','N/A'
'Viva - A Vida é uma Festa','Lee Unkrich                                                                                                                                                                                                                                Adrian Molina','N/A','https://www.adorocinema.com/filmes/filme-206775/','4 de janeiro de 2018','N/A'
'De Volta para o Futuro','Robert Zemeckis','N/A','https://www.adorocinema.com/filmes/filme-448/','25 de dezembro de 1985','N/A'
'Gladiador','Ridley Scott','N/A','https://www.adorocinema.com/filmes/filme-24944/','19 de maio de 2000','N/A'
'Django Livre','Quentin Tarantino','N/A','https://www.adorocinema.com/filmes/filme-190918/','18 de janeiro de 2013','N/A'
'O Silêncio dos Inocentes','Jonathan Demme','N/A','https://www.adorocinema.com/filmes/filme-6641/','17 de maio de 1991','N/A'
'O Senhor dos Anéis - A Sociedade do Anel','Peter Jackson','N/A','https://www.adorocinema.com/filmes/filme-27070/','1 de janeiro de 2002','N/A'
'O Senhor dos Anéis - As Duas Torres','Peter Jackson','N/A','https://www.adorocinema.com/filmes/filme-39186/','27 de dezembro de 2002','N/A'
'Intocáveis','Eric Toledano                                                                                                                                                                                                                                Olivier Nakache','N/A','https://www.adorocinema.com/filmes/filme-182745/','31 de agosto de 2012','N/A'
'Interestelar','Christopher Nolan','N/A','https://www.adorocinema.com/filmes/filme-114782/','6 de novembro de 2014','N/A'
'Sempre ao Seu Lado','Christopher Nolan','N/A','https://www.adorocinema.com/filmes/filme-128959/','25 de dezembro de 2009','N/A'
'Toy Story - Um Mundo de Aventuras','John Lasseter','N/A','https://www.adorocinema.com/filmes/filme-14264/','22 de dezembro de 1995','N/A'
'Cantando na Chuva','Stanley Donen                                                                                                                                                                                                                                Gene Kelly','N/A','https://www.adorocinema.com/filmes/filme-5120/','30 de junho de 1952','N/A'
'À Procura da Felicidade','Gabriele Muccino','N/A','https://www.adorocinema.com/filmes/filme-54098/','2 de fevereiro de 2007','N/A'
'Harry Potter e as Relíquias da Morte - Parte 2','David Yates','N/A','https://www.adorocinema.com/filmes/filme-134925/','15 de julho de 2011','N/A'
'Divertida Mente','Pete Docter','N/A','https://www.adorocinema.com/filmes/filme-196960/','18 de junho de 2015','N/A'
'Toy Story 3','Lee Unkrich','N/A','https://www.adorocinema.com/filmes/filme-126123/','18 de junho de 2010','N/A'
'Três Homens em Conflito','Sergio Leone','N/A','https://www.adorocinema.com/filmes/filme-19395/','1 de outubro de 2020','N/A'
